SITE: https://www.annalsofoncology.org | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(8),SensitiveForms | SCRIPTS: 2 same-origin, 8 cross-origin
SITE: https://everlane.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(11) | SCRIPTS: 35 same-origin, 11 cross-origin
SITE: https://safe.bcu.org | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(5) | SCRIPTS: 6 same-origin, 5 cross-origin
SITE: https://www.wethrift.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(1) | SCRIPTS: 13 same-origin, 1 cross-origin
SITE: https://cdn.direct.me | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(1) | SCRIPTS: 0 same-origin, 1 cross-origin
SITE: https://www.woodhousefordblair.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(34),PostMessage | SCRIPTS: 32 same-origin, 34 cross-origin
SITE: https://moneymetals.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(3) | SCRIPTS: 1 same-origin, 3 cross-origin
SITE: https://24drama.to | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://www.raz-plus.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,Framework | RISKS: InlineJS,InlineCSS,XOrigin(44) | SCRIPTS: 1 same-origin, 44 cross-origin
SITE: https://batcave.biz | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(2),SensitiveForms | SCRIPTS: 4 same-origin, 2 cross-origin
SITE: https://www.breezeline.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(9) | SCRIPTS: 3 same-origin, 9 cross-origin
SITE: https://uk.bookshop.org | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(21) | SCRIPTS: 1 same-origin, 21 cross-origin
SITE: https://cisco.udemy.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: none | SCRIPTS: 2 same-origin, 0 cross-origin
SITE: https://cris.huji.ac.il | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(8) | SCRIPTS: 2 same-origin, 8 cross-origin
SITE: https://casino.bet365.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(2),SensitiveForms | SCRIPTS: 3 same-origin, 2 cross-origin
SITE: https://www.equalityhumanrights.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(2) | SCRIPTS: 7 same-origin, 2 cross-origin
SITE: https://ibm-learning.udemy.com | RISK LEVEL: LOW | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(6),SensitiveForms | SCRIPTS: 0 same-origin, 6 cross-origin
SITE: https://beckman.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(22),SensitiveForms | SCRIPTS: 11 same-origin, 22 cross-origin
SITE: https://bioguide.congress.gov | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(3) | SCRIPTS: 6 same-origin, 3 cross-origin
SITE: https://bernsteins.com | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 2 same-origin, 4 cross-origin
SITE: https://yachtworld.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(8) | SCRIPTS: 13 same-origin, 8 cross-origin
SITE: https://4kporn.xxx | RISK LEVEL: LOW | PROTECTIONS: Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(5),PostMessage | SCRIPTS: 1 same-origin, 5 cross-origin
SITE: https://www.notino.ro | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,Framework | RISKS: InlineJS,InlineCSS,XOrigin(42),SensitiveForms | SCRIPTS: 0 same-origin, 42 cross-origin
SITE: https://tanishq.co.in | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(26) | SCRIPTS: 14 same-origin, 26 cross-origin
SITE: https://videoo.tv | RISK LEVEL: MINIMAL | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(2) | SCRIPTS: 13 same-origin, 2 cross-origin
SITE: https://manomano.es | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(7),PostMessage | SCRIPTS: 45 same-origin, 7 cross-origin
